activity_date,Activity Type,elapsed_time_sec,distance_km,max_hr,relative_effort,moving_time_sec,max_speed,avg_speed_MS,elevation_gain,elevation_loss,Elevation Low,Elevation High,Max Grade,Average Grade,max_cadence,avg_cadence,avg_hr,Calories,Grade Adjusted Distance,Average Elapsed Speed,Dirt Distance,Total Steps,Training Load,Intensity,gap
2026-07-16 13:00:41,Run,2352,7.43,,,2335.0,6.8,3.182,0.0,3.2,177.4,180.7,5.2,0.0,,,,725.0,7432.7,3.159,238.3,,,,3.183
2026-07-14 23:20:06,Run,4421,8.68,173.0,60.0,2833.0,6.32,3.067,10.2,10.6,177.1,181.0,5.6,0.0,84.0,78.0,149.0,757.0,8703.2,1.965,2943.4,7604.0,425.0,186.0,3.072
2026-07-11 15:21:04,Run,1662,5.38,173.0,47.0,1649.0,4.44,3.263,35.0,62.0,173.4,203.4,19.3,-0.5,115.0,80.0,154.0,399.0,5440.9,3.238,246.3,4394.0,209.0,213.0,3.3
2026-07-09 22:27:32,Run,4029,12.88,185.0,183.0,3970.0,11.3,3.245,99.0,100.0,174.8,190.6,17.3,0.0,108.0,79.0,167.0,1007.0,13163.1,3.197,1013.8,10432.0,508.0,213.0,3.316
2026-07-08 23:29:40,Run,1429,3.75,154.0,18.0,1381.0,6.42,2.721,45.0,38.0,172.4,193.2,24.4,0.2,82.0,74.0,138.0,278.0,3929.3,2.63,8.2,3440.0,125.0,178.0,2.845
2026-07-07 23:18:36,Run,4179,8.44,172.0,45.0,2850.0,6.8,2.963,347.0,351.0,-79.0,197.6,48.5,-0.2,114.0,78.0,142.0,694.0,8821.0,2.021,2705.5,7684.0,376.0,180.0,3.095
2026-07-04 15:30:58,Run,1933,5.99,165.0,44.0,1904.0,7.06,3.147,41.0,35.0,178.4,192.2,16.5,0.1,102.0,79.0,150.0,443.0,6113.7,3.1,0.0,5002.0,368.0,262.0,3.211
2026-07-02 13:51:22,Run,2627,8.24,186.0,116.0,2509.0,4.46,3.284,80.0,78.0,169.0,193.4,32.2,0.0,117.0,79.0,167.0,654.0,8514.5,3.137,1136.9,6574.0,627.0,293.0,3.394
2026-07-01 23:28:43,Run,1652,4.85,179.0,67.0,1559.0,6.64,3.116,41.0,40.0,188.0,198.4,23.1,0.0,81.0,78.0,165.0,387.0,5014.8,2.94,704.6,4180.0,275.0,245.0,3.217
2026-06-30 23:21:52,Run,4505,8.45,170.0,63.0,2947.0,7.634,2.869,177.0,188.0,74.8,238.8,49.8,-0.4,89.0,77.0,148.0,743.0,9058.0,1.877,2944.9,7566.0,606.0,220.0,3.074
