Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19336887960,"Jul 16, 2026, 1:00:41 PM",1km Repeats,Run,"The Full Marathon Race (NYC) Plan (Week 2/17)

1.3mi warm up at a conversational pace (no faster than 8:40/mi), 90s walking rest

3 reps of:
• 0.62mi at 6:50/mi (6:35-7:05/mi), 90s walking rest

0.8mi cool down at a conversational pace (or slower!)",2352,7.43,,,false,,ASICS gel-kayano 32,activities/20455929715.fit.gz,,,2352.0,2335.0,7431.0,6.8,3.182,0.0,3.2,177.4,180.7,5.2,0.0,,,,,,,,,725.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,7432.7,,,,,,,,,,,,,,,,25364390.0,,,,,,,,,,,3.159,238.3,,,,,0.0,,,,3.183,,,,,,,,,,,,media/7e50173c-da64-437b-9881-356accbf3e47.jpg
19329595122,"Jul 15, 2026, 10:15:19 PM",Afternoon Tennis,Workout,[strava://athletes/108771408/12]Nina Ferrara ,2684,1.49,182.0,8,false,,,activities/20448513160.fit.gz,,,2684.0,2078.0,1493.8,2.56,0.719,0.0,0.0,182.0,182.0,0.0,0.0,,,117.0,58.0,182.0,111.0,,,297.0,,,8.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557,0.0,,,,2546.0,0.0,,,,,,2546.0,,0.0,,,,,,,,""
19326172714,"Jul 15, 2026, 4:49:43 PM",Upper Body Lift with Runna ✅,Weight Training,"The Full Marathon Race (NYC) Plan (Week 2/17)

• Press Up Position Walk Out: 20s, 20s, 20s
• Diagonal Toe Tap: 20s, 20s, 20s
• Press Up Position Diagonal Toe Tap: 20s, 20s, 20s
• Bear Crawl: 20s, 20s, 20s
• Press Up: 5 reps, 5 reps
• Shoulder-focused Press Ups: 8 reps, 8 reps
• Back Extension: 8 reps, 8 reps
• Mountain Climber: 10 reps, 10 reps
• Superman: 5 reps, 5 reps
• Burpee: 10 reps, 10 reps
• Side Plank Leg Raise: 12 reps, 12 reps
• Side Plank: 40s, 40s",2070,0,,,false,,,,,,2070.0,2070.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,28,116,""
19316778570,"Jul 14, 2026, 11:20:06 PM",Evening Run,Run,,4421,8.68,173.0,60,false,,On Cloudventure cloudmonster 3 hyper,activities/20435481656.fit.gz,,,4421.0,2833.0,8688.1,6.32,3.067,10.2,10.6,177.1,181.0,5.6,0.0,,,84.0,78.0,173.0,149.0,,353.0,757.0,,,60.0,1034137.0,,,,,,,,328.0,4422.0,,,0.0,,1.0,8703.2,,,,,,,,,,,,,,,,32216545.0,,,,,,,,,,,1.965,2943.4,,,,7604.0,0.0,,425.0,186.0,3.072,,,,,,,,,,,,""
19315480117,"Jul 14, 2026, 9:26:24 PM",Afternoon Tennis,Workout,Teaching [strava://athletes/23498370/13]Ignacio Jasso tennis,2412,1.24,130.0,4,false,,,activities/20434167602.fit.gz,,,2412.0,1511.0,1243.2,2.7,0.823,0.0,0.0,182.0,182.3,0.0,0.0,,,120.0,60.0,130.0,109.0,,,249.0,,,4.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.515,0.0,,,,2410.0,0.0,,,,,,2410.0,,0.0,,,,,,,,""
19297451921,"Jul 13, 2026, 4:45:09 PM",Lunch Weight Training,Weight Training,,1987,0,114.0,3,false,,,activities/20415882954.fit.gz,,,1987.0,1987.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,114.0,84.0,,,121.0,,,3.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,182.0,,,,,,,,6,91,""
19297411858,"Jul 13, 2026, 4:44:28 PM",Lower Body Strength Workout with Runna ✅,Workout,"The Full Marathon Race (NYC) Plan (Week 2/17)

2 sets of:
• Heel Walks
• Travelling Press Up Walk out
• Squat to Calf Raise
• Walking Lunge

2 sets of:
• Lateral Walk
• Double Leg Skipping

2 sets of:
• Front Leg Raised Lunge
• Hip Drop

2 sets of:
• Hamstring Walkout
• Knee Drive

2 sets of:
• Figure of 8s
• Squat Thrusts",2015,0,,,false,,,,,,2015.0,2015.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19289212590,"Jul 13, 2026, 1:31:11 AM",Evening Ride,Ride,,1299,4.89,130.0,3,false,,,activities/20407507290.fit.gz,,,1299.0,1093.0,4895.5,7.12,4.479,39.0,26.0,168.2,196.6,34.2,0.3,,,,,130.0,107.0,,85.0,147.0,,,3.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.769,0.0,,,,,0.0,,,,,,,,,,,,,,,,""
19288305728,"Jul 12, 2026, 10:03:43 PM",Afternoon Tennis,Workout,,3740,2.05,166.0,9,false,,,activities/20406579875.fit.gz,,,3740.0,2715.0,2056.9,2.66,0.758,0.0,0.0,177.6,178.1,5.8,0.0,,,106.0,54.0,166.0,116.0,,,438.0,,,9.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,0.0,,,,3724.0,0.0,,,,,,3724.0,,,,,,,,,,""
19283930579,"Jul 12, 2026, 3:14:39 PM",Allez cafe x Haley dough,E-Bike Ride,haven't had bacon in a while ,958,5.05,118.0,2,false,"",,activities/20402123464.fit.gz,,,958.0,906.0,5053.2,9.129,5.577,44.0,30.0,174.8,194.6,40.0,0.3,,,,,118.0,103.0,,107.0,97.0,,,2.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.275,40.7,,,,,0.0,,,,,,,,,,,,,,,,media/c66aade5-72ce-4794-b1dc-2f9d631e7930.jpg|media/0deb5b45-7c7b-4bda-bd9c-a5e440df990c.jpg
